route_id,agency_id,route_short_name,route_long_name,route_type
219,OP6,AIR,,0
4056,OP7,Metro,,0
5084,OP9,12A,,3
233,OP9,13,,3
4596,OP9,14,,3
883,OP9,145,,3
884,OP9,145A,,3
3631,OP9,16A,,3
3665,OP9,17,,3
3601,OP9,17A,,3
3600,OP9,17S,,3
4984,OP9,182,,3
4985,OP9,183,,3
5413,OP9,19,,3
895,OP9,192,,3
237,OP9,002,,3
238,OP9,20,,3
898,OP9,202,,3
239,OP9,21,,3
5085,OP9,215,,3
5479,OP9,216,,3
5480,OP9,217,,3
241,OP9,223,,3
5842,OP9,226,,3
4522,OP9,229,,3
4291,OP9,242S,,3
5578,OP9,24,,3
1784,OP9,242,,3
2971,OP9,226A,,3
250,OP9,26A,,3
3375,OP9,27,,3
5678,OP9,27,,3
3376,OP9,27A,,3
253,OP9,30,,3
4126,OP9,303,,3
1016,OP9,31,,3
254,OP9,310,,3
1458,OP9,32,,3
255,OP9,326,,3
1193,OP9,4,,3
1013,OP9,40,,3
1014,OP9,42,,3
3537,OP9,45,,3
1020,OP9,4H,,3
1023,OP9,50,,3
3170,OP9,502,,3
5974,OP9,50A,,3
4606,OP9,54,,3
4034,OP9,54,,3
4593,OP9,54A,,3
3598,OP9,61,,3
4655,OP9,61,,3
4456,OP9,61A,,3
267,OP9,63,,3
4621,OP9,637,,3
268,OP9,64,,3
269,OP9,64,,3
270,OP9,65,,3
271,OP9,65,,3
272,OP9,66,,3
277,OP9,74A,,3
2381,OP9,76,,3
1033,OP9,82,,3
280,OP9,835,,3
4027,OP9,88,,3
5446,OP9,98,,3
5447,OP9,99,,3
5677,OP9,99A,,3
288,OP10,218,,3
289,OP10,223,,3
290,OP10,233,,3
5875,OP10,514,,3
291,OP10,519,,3
4055,OP398,19,,3
4555,OP398,224,,3
4594,OP398,23,,3
4595,OP398,23A,,3
4605,OP398,3,,3
4607,OP398,41,,3
3404,OP14,10,,3
885,OP14,147,,3
305,OP14,19,,3
922,OP14,318,,3
306,OP14,39,,3
307,OP14,39A,,3
308,OP14,39S,,3
3370,OP14,55,,3
1095,OP100,1,,3
15,OP100,1,,3
177,OP100,10,,3
16,OP100,10,,3
50,OP100,101,,3
17,OP100,10A,,3
178,OP100,11,,3
1154,OP100,11,,3
1144,OP100,11A,,3
179,OP100,11A,,3
1090,OP100,11C,,3
1091,OP100,11S,,3
81,OP100,12,,3
82,OP100,126,,3
5809,OP100,142A,,3
5017,OP100,13,,3
1110,OP100,14,,3
5810,OP100,142,,3
21,OP100,15,,3
181,OP100,159,,3
1158,OP100,16,,3
23,OP100,16,,3
4918,OP100,16A,,3
1093,OP100,17,,3
5182,OP100,17A,,3
89,OP100,18,,3
1131,OP100,18,,3
1094,OP100,1S,,3
91,OP100,2,,3
24,OP100,2,,3
1135,OP100,2,,3
5149,OP100,22,,3
150,OP100,23,,3
5116,OP100,23,,3
151,OP100,24,,3
5811,OP100,25,,3
53,OP100,28,,3
183,OP100,29,,3
3763,OP100,2A,,3
3004,OP100,3,,3
155,OP100,3,,3
30,OP100,3,,3
1136,OP100,3,,3
1147,OP100,31,,3
185,OP100,32,,3
1155,OP100,32,,3
54,OP100,33,,3
1156,OP100,33,,3
186,OP100,34,,3
1148,OP100,35,,3
216,OP100,35,,3
1150,OP100,37,,3
156,OP100,3A,,3
1100,OP100,4,,3
191,OP100,4,,3
2644,OP100,4,,3
1145,OP100,40,,3
5314,OP100,41,,3
1151,OP100,41,,3
1146,OP100,43,,3
148,OP100,45,,3
1112,OP100,47,,3
163,OP100,47,,3
4885,OP100,48,,3
164,OP100,49,,3
1138,OP100,49,,3
1099,OP100,4A,,3
1152,OP100,4H,,3
194,OP100,4M,,3
94,OP100,5,,3
167,OP100,5,,3
1102,OP100,5,,3
1153,OP100,50,,3
195,OP100,51,,3
55,OP100,52,,3
2,OP100,529,,3
4028,OP100,530,,3
34,OP100,59,,3
96,OP100,5A,,3
44,OP100,6,,3
97,OP100,6,,3
38,OP100,6,,3
1139,OP100,6,,3
1113,OP100,60,,3
1114,OP100,61,,3
36,OP100,62,,3
37,OP100,62A,,3
1115,OP100,63,,3
4048,OP100,64,,3
56,OP100,65,,3
57,OP100,66,,3
58,OP100,67,,3
4054,OP100,68,,3
175,OP100,69,,3
39,OP100,6A,,3
46,OP100,7,,3
59,OP100,7,,3
198,OP100,701,,3
168,OP100,703,,3
1159,OP100,71,,3
3,OP100,711,,3
4,OP100,713,,3
3202,OP100,714,,3
1104,OP100,72,,3
169,OP100,74,,3
4015,OP100,751,,3
1140,OP100,76,,3
7,OP100,763,,3
2444,OP100,77,,3
2443,OP100,77A,,3
4047,OP100,77B,,3
2445,OP100,77S,,3
8,OP100,784,,3
201,OP100,788,,3
40,OP100,79,,3
3268,OP100,793,,3
9,OP100,794,,3
202,OP100,7S,,3
47,OP100,8,,3
11,OP100,8,,3
170,OP100,80,,3
41,OP100,81,,3
3402,OP100,813,,3
3403,OP100,814,,3
62,OP100,815,,3
171,OP100,82,,3
1157,OP100,82,,3
1116,OP100,822,,3
1119,OP100,829,,3
218,OP100,863,,3
172,OP100,87,,3
1120,OP100,877,,3
203,OP100,881,,3
2113,OP100,889,,3
4043,OP100,89,,3
1123,OP100,891,,3
68,OP100,8A,,3
69,OP100,8C,,3
49,OP100,9,,3
98,OP100,9,,3
70,OP100,907,,3
4886,OP100,936,,3
207,OP100,937,,3
1143,OP100,94,,3
1124,OP100,95,,3
72,OP100,96,,3
1125,OP100,97,,3
4159,OP100,97A,,3
48,OP100,997,,3
4887,OP100,998,,3
209,OP100,9A,,3
73,OP100,FD,,3
99,OP100,X10,,3
1126,OP100,X12,,3
1127,OP100,X13,,3
74,OP100,X14,,3
75,OP100,X15,,3
1191,OP100,X2,,3
4951,OP100,X20,,3
4030,OP100,X21,,3
1129,OP100,X22,,3
76,OP100,X3,,3
77,OP100,X4,,3
78,OP100,X5,,3
212,OP100,X51,,3
4049,OP100,X64,,3
12,OP100,X8,,3
5611,OP15,17,,3
317,OP15,67,,3
4390,OP15,876,,3
4597,OP16,601,,3
4598,OP16,602,,3
4599,OP16,630,,3
4600,OP16,631,,3
4601,OP16,664,,3
4602,OP16,665,,3
319,OP16,A10,,3
325,OP16,A7,,3
326,OP16,A8,,3
5215,OP17,148,,3
4654,OP17,188,,3
4050,OP17,18A,,3
121,OP17,24,,3
4013,OP17,24A,,3
5513,OP17,24X,,3
5518,OP17,25,,3
5514,OP17,25A,,3
5743,OP17,25X,,3
330,OP17,48A,,3
3599,OP17,51,,3
335,OP17,56,,3
4060,OP17,57,,3
336,OP17,60,,3
4036,OP17,703,,3
5776,OP17,735,,3
3204,OP17,74,,3
3203,OP17,74A,,3
3539,OP17,74B,,3
5516,OP17,74C,,3
5521,OP17,78,,3
373,OP17,78A,,3
5449,OP17,79,,3
5448,OP17,79A,,3
2740,OP17,82,,3
5519,OP17,85,,3
338,OP17,85A,,3
5522,OP17,85B,,3
5523,OP17,85H,,3
5517,OP17,85K,,3
5520,OP17,85S,,3
339,OP17,86,,3
3106,OP17,87,,3
341,OP17,U1,,3
343,OP17,U1A,,3
346,OP17,X17,,3
3928,OP17,X18,,3
2905,OP17,X20,,3
5908,OP17,X21,,3
5644,OP17,X30,,3
4423,OP17,X18A,,3
349,OP18,513,,3
350,OP18,514,,3
351,OP18,517,,3
1028,OP18,519,,3
101,OP4,11,,3
102,OP4,12X,,3
4225,OP4,13,,3
104,OP4,13A,,3
105,OP4,14,,3
3764,OP4,15,,3
107,OP4,16,,3
108,OP4,17,,3
109,OP4,17A,,3
110,OP4,18,,3
111,OP4,18A,,3
114,OP4,20,,3
115,OP4,20A,,3
116,OP4,20B,,3
118,OP4,21,,3
1654,OP4,22,,3
5941,OP4,27,,3
124,OP4,3,,3
1751,OP4,3S,,3
126,OP4,52,,3
3137,OP4,53,,3
3138,OP4,54,,3
3139,OP4,55,,3
132,OP4,6,,3
133,OP4,6A,,3
134,OP4,7,,3
4852,OP4,7A,,3
136,OP4,7B,,3
137,OP4,8,,3
5183,OP4,8B,,3
143,OP4,9,,3
5248,OP4,9B,,3
4023,OP4,X1,,3
1012,OP19,1,,3
1022,OP19,11,,3
4258,OP19,59,,3
354,OP20,22,,3
355,OP20,23,,3
356,OP20,24,,3
357,OP20,25,,3
4786,OP20,674,,3
278,OP20,78,,3
5710,OP20,78A,,3
367,OP24,110,,3
690,OP24,9,,3
4006,OP331,X6,,3
5380,OP25,25,,3
519,OP25,3,,3
4008,OP25,36,,3
4192,OP25,36A,,3
32,OP25,5,,3
5315,OP25,57,,3
2741,OP25,70,,3
553,OP25,71,,3
376,OP26,53,,3
1025,OP26,530,,3
1883,OP26,81,,3
775,OP26,891,,3
4012,OP100,39,,3
10,OP100,7,,3
197,OP100,70,,3
200,OP100,70A,,3
6040,OP4,21A,,3
4357,OP4,21S,,3
106,OP4,14A,,3
5050,OP100,X1,,3
1121,OP100,878,,3
1149,OP100,36,,3
160,OP100,44,,3
199,OP100,705,,3
4037,OP100,5,,3
6007,OP100,709,,3
5512,OP100,710,,3
